,0
0,10.0
1,-0.0
2,-0.0
3,17.5
4,26.0
5,-0.0
6,10.599999999999994
7,2.0
8,15.599999999999994
9,19.5
10,8.0
11,-0.0
12,26.5
13,-0.0
14,8.400000000000006
15,-0.0
16,14.0
17,-0.0
18,10.600000000000009
19,-0.0
20,-0.0
21,7.0
22,2.5999999999999943
23,-0.0
24,-0.0
25,11.0
26,-0.0
27,-0.0
28,-0.0
29,-0.0
30,28.599999999999994
31,4.099999999999994
32,-0.0
33,-0.0
34,23.0
35,-0.0
36,2.0
37,-0.0
38,15.0
39,-0.0
40,0.20000000000000284
41,18.0
42,-0.0
43,-0.0
44,15.0
45,8.5
46,-0.0
47,-0.0
48,17.0
49,11.599999999999994
50,3.299999999999997
51,10.099999999999994
52,3.0
53,-0.0
54,-0.0
55,23.5
56,19.0
57,-0.0
58,2.9000000000000057
59,-0.0
60,-0.0
61,13.5
62,2.0
63,6.099999999999994
64,-0.0
65,-0.0
66,15.900000000000006
67,8.0
68,-0.0
69,-0.0
70,1.5
71,-0.0
72,-0.0
73,5.0
74,-0.0
75,3.0
76,19.0
77,22.400000000000006
78,2.0999999999999943
79,-0.0
80,16.200000000000003
81,2.0999999999999943
82,7.0
83,-0.0
84,32.5
85,-0.0
86,-0.0
87,12.099999999999994
88,-0.0
89,3.5
90,6.900000000000006
91,6.5
92,-0.0
93,-0.0
94,11.0
95,13.5
96,21.099999999999994
97,17.0
98,26.0
99,-0.0
100,2.799999999999997
101,-0.0
102,21.900000000000006
103,15.0
104,-0.0
105,-0.0
106,-0.0
107,-0.0
108,32.5
109,12.800000000000011
110,1.0
111,1.0
112,5.5
113,7.5
114,0.47999999999998977
115,-0.0
116,-0.0
117,3.5999999999999943
118,-0.0
119,4.599999999999994
120,-0.0
121,-0.0
122,3.4000000000000057
123,-0.0
124,-0.0
125,-0.0
126,-0.0
127,9.5
128,-0.0
129,22.5
130,-0.0
131,2.0
132,13.0
133,-0.0
134,-0.0
135,4.0
136,0.0800000000000125
137,6.5
138,-0.0
139,10.0
140,16.5
141,-0.0
142,2.0
143,13.5
144,-0.0
145,-0.0
146,-0.0
147,1.0999999999999943
148,-0.0
149,-0.0
150,33.0
151,-0.0
152,-0.0
153,-0.0
